title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
His Transmigrated Cannon Fodder Fiancé,"['Comedy', 'Josei', 'Mature', 'Romance']","['Ancient China', 'Bickering Couple', 'Black Belly', 'Carefree Protagonist', 'Cold Love Interests', 'Couple Growth', 'Cruel Characters', 'Devoted Love Interests', 'Engagement', 'Family Conflict', 'Female Protagonist', 'First-time Interc**rse', 'Forced into a Relationship', 'Friendship', 'Handsome Male Lead', 'Jealousy', 'Lack of Common Sense', 'Love Interest Falls in Love First', 'Marriage', 'Misunderstandings', 'Mob Protagonist', 'Older Love Interests', 'Parody', 'Persistent Love Interests', 'Power Couple', 'Reincarnation', 'Royalty', 'R*pe', 'Ruthless Protagonist', 'Seduction', 'Shameless Protagonist', 'Siblings', 'Smart Couple', 'Strong Love Interests', 'Transmigration', 'Tsundere', 'Twisted Personality', 'Villainess Noble Girls']",18,16,37,35,97,3.9
Forever Love,"['School Life', 'Slice of Life', 'Drama', 'Josei']","['Female Protagonist', 'Flashbacks', 'Friendship', 'Modern Day', 'Suicides', 'Unreliable Narrator']",2,0,1,3,2,3.4
This Game Is Too Realistic,"['Sci-fi', 'Adventure', 'Comedy', 'Action', 'Slice of Life', 'Fantasy']","['Adventurers', 'Alternate World', 'Apocalypse', 'Arms Dealers', 'Army', 'Army Building', 'Artificial Intelligence', 'Business Management', 'Calm Protagonist', 'Cannibalism', 'Clones', 'Cooking', 'Cunning Protagonist', 'Different Social Status', 'Discrimination', 'Economics', 'Fanaticism', 'Fanfiction', 'Farming', 'Game Elements', 'Gamers', 'Generals', 'Genetic Modifications', 'Hard-Working Protagonist', 'Hunters', 'Industrialization', 'Inheritance', 'Kingdom Building', 'Leadership', 'Level System', 'Loyal Subordinates', 'Male Protagonist', 'Management', 'Mercenaries', 'Merchants', 'Military', 'Misunderstandings', 'Money Grubber', 'Monster Tamer', 'Monsters', 'Multiple POV', 'Multiple Realms', 'Mutated Creatures', 'Mutations', 'Nobles', 'Parallel Worlds', 'Parasites', 'Post-apocalyptic', 'Religions', 'Schemes And Conspiracies', 'Scientists', 'Secrets', 'S*aves', 'Soldiers', 'Survival', 'System Administrator', 'Transmigration', 'Transported to Another World', 'Wars', 'Weak to Strong']",6,4,6,9,83,4.5
Only My WeChat Group,"['Xuanhuan', 'Sci-fi', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Cheats', 'Cunning Protagonist', 'Modern Day', 'System Administrator', 'Weak to Strong']",0,1,0,1,0,3.0
Sword Master Online,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem']","['Fantasy World', 'Game Elements', 'Loli', 'Male Protagonist', 'Overpowered Protagonist', 'Romantic Subplot', 'Sword And Magic', 'Transported into a Game World']",7,2,5,6,22,3.8
The Coming Heroine: The Only Princess,"['Fantasy', 'Romance', 'Shoujo']","['Beautiful Female Lead', 'Female Protagonist', 'Time Travel']",9,3,4,3,10,3.1
The Divine Martial Stars,"['Shounen', 'Xuanhuan', 'Harem', 'Supernatural', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Appearance Changes', 'Body Tempering', 'Calm Protagonist', 'Clever Protagonist', 'Confident Protagonist', 'Cultivation', 'Enlightenment', 'Eye Powers', 'Fast Learner', 'Gangs', 'Hard-Working Protagonist', 'Immortals', 'Magic Formations', 'Male Protagonist', 'Misunderstandings', 'Modern Day', 'Ruthless Protagonist', 'Strength-based Social Hierarchy', 'Sudden Strength Gain', 'Transported to Another World', 'Underestimated Protagonist', 'Unique Cultivation Technique', 'Weak to Strong']",12,6,6,6,27,3.5
Legend of Fu Yao,"['Harem', 'Adventure', 'Action', 'Historical', 'Josei', 'Martial Arts', 'Fantasy', 'Romance']","['Adapted to Drama', 'Ancient China', 'Beautiful Female Lead', 'Cultivation', 'Female Protagonist', 'Handsome Male Lead', 'Reverse Harem', 'Transmigration']",14,9,16,15,59,3.8
Celestial Employee,"['Xianxia', 'Comedy', 'Action', 'Slice of Life', 'Fantasy', 'Romance']","['Male Protagonist', 'Modern Day', 'Weak to Strong']",20,14,6,10,29,3.2
Cosma Empire,"['Mature', 'Psychological', 'Mystery', 'Romance', 'Sci-fi', 'Supernatural', 'Adventure', 'Tragedy', 'Martial Arts', 'Fantasy', 'Adult']",[''],9,0,1,1,9,3.1
A Bright Sunny Morning,"['Adult', 'Sci-fi', 'Smut', 'Yaoi']","['Dreams', 'European Ambience', 'Short Story', 'Threesome']",6,4,3,2,5,2.8
Daydreaming About Me,"['School Life', 'Comedy', 'Drama', 'Romance']","['Absent Parents', 'Adapted to Drama', 'Adapted to Drama CD', 'Adapted to Manhua', 'Beautiful Female Lead', 'Character Growth', 'College/University', 'Coming of Age', 'Female Protagonist', 'Handsome Male Lead', 'Wealthy Characters']",3,0,2,1,12,4.1
The Soft and Adorable Host was Picked Up by the Yandere Bigshot,"['Adult', 'Josei', 'Mature', 'Romance', 'Tragedy']","['Ancient China', 'Cute Protagonist', 'Episodic', 'Female Protagonist', 'Handsome Male Lead', 'Lazy Protagonist', 'Male Yandere', 'R*pe Victim Becomes Lover', 'Reverse R*pe', 'R*pe', 'System Administrator', 'Tragic Past', 'Transmigration', 'Weak Protagonist', 'Wealthy Characters', 'World Hopping']",5,1,1,2,6,3.2
The Useless Mr. Zhuang,"['Drama', 'Romance', 'Yaoi']","['Devoted Love Interests', 'Family Conflict', 'Lazy Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Possessive Characters', 'Wealthy Characters', 'Younger Love Interests']",1,3,5,11,10,3.9
Otherworldly White Dragon Lord,"['Harem', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Beautiful Female Lead', 'Clever Protagonist', 'Confident Protagonist', 'Demi-Humans', 'Demons', 'Dragons', 'Fanfiction', 'Game Elements', 'Genius Protagonist', 'Gods', 'Handsome Male Lead', 'Male Protagonist', 'Non-humanoid Protagonist', 'Overpowered Protagonist', 'Politics', 'Protagonist Strong from the Start', 'Romantic Subplot', 'Special Abilities', 'Summoned Hero', 'Transported to Another World']",14,2,6,6,15,3.1
Morbid Attachment,"['Drama', 'Psychological', 'Romance', 'Yaoi']","['Absent Parents', 'Adapted to Drama CD', 'Adapted to Manhua', 'Celebrities', 'Clingy Lover', 'Complex Family Relationships', 'Couple Growth', 'Devoted Love Interests', 'Family Conflict', 'Handsome Male Lead', 'Lovers Reunited', 'Manly Gay Couple', 'Misunderstandings', 'Modern Day', 'Obsessive Love', 'Omegaverse', 'Past Trauma', 'Popular Love Interests', 'Possessive Characters', 'Protagonist Falls in Love First', 'Schizophrenia', 'Showbiz', 'Strong Love Interests', 'Suicides', 'Torture', 'Tragic Past', 'Wealthy Characters', 'Younger Love Interests']",7,1,2,4,38,4.3
The Transmigration Missions Are Not Scientific,"['School Life', 'Yuri', 'Adventure', 'Comedy', 'Fantasy', 'Romance']","['Apocalypse', 'Beautiful Female Lead', 'Cultivation', 'Determined Protagonist', 'Devoted Love Interests', 'Episodic', 'Female Protagonist', 'Hackers', 'Heartwarming', 'Interdimensional Travel', 'Modern Day', 'Multiple Protagonists', 'Multiple Realms', 'Non-humanoid Protagonist', 'Protagonist Falls in Love First', 'Shounen-Ai Subplot', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Wealthy Characters', 'World Hopping', 'Zombies']",6,3,6,13,67,4.4
"Quick Transmigration: Help, The Male Leads Are All Broken!","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Shoujo']","['Aggressive Characters', 'Ancient Times', 'Beautiful Female Lead', 'Cold Love Interests', 'Cross-dressing', 'Cultivation', 'Episodic', 'Fantasy World', 'Female Protagonist', 'Ghosts', 'Love Interest Falls in Love First', 'Male Yandere', 'Modern Day', 'Multiple Realms', 'Obsessive Love', 'Past Plays a Big Role', 'Possessive Characters', 'Post-apocalyptic', 'Showbiz', 'System Administrator', 'Transmigration', 'World Hopping']",3,2,2,6,17,4.1
Thrive in Catastrophe,"['Action', 'Adventure', 'Mature', 'Psychological', 'Sci-fi', 'Smut', 'Yaoi']","['Abusive Characters', 'Apocalypse', 'Betrayal', 'Bisexual Protagonist', 'Black Belly', 'Clever Protagonist', 'Cold Love Interests', 'Dense Protagonist', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Human Experimentation', 'Human Weapon', 'Limited Lifespan', 'Love Interest Falls in Love First', 'Love Triangles', 'Male Yandere', 'Manipulative Characters', 'Military', 'Mind Control', 'Modern Day', 'Naive Protagonist', 'Near-Death Experience', 'Obsessive Love', 'Possessive Characters', 'Power Couple', 'R*pe Victim Becomes Lover', 'R*pe', 'Scientists', 'S*xual Abuse', 'Slow Romance', 'Special Abilities', 'Strong Love Interests', 'Weak to Strong', 'Zombies']",45,32,44,103,442,4.3
You Are My… Natural Mosquito Killer,['Romance'],"['Childhood Friends', 'Cute Story', 'Female Protagonist', 'Modern Day', 'Oneshot']",2,3,2,4,1,2.9
Becoming the Girl of the Emperor,"['Historical', 'Josei', 'Romance']","['Ancient China', 'Aristocracy', 'Female Protagonist', 'Imperial Harem']",1,3,2,0,0,2.2
Ti Shen,"['Action', 'Drama', 'Mature', 'Romance', 'Yaoi']","['Acting', 'Body-double', 'Clever Protagonist', 'Handsome Male Lead', 'Kuudere', 'Modern Day', 'Organized Crime', 'Past Plays a Big Role', 'R*pe', 'Showbiz', 'Slow Romance']",13,9,10,24,85,4.1
Who Is the Prey,"['Adult', 'Drama', 'Mature', 'Psychological', 'Romance', 'Tragedy']","['Abusive Characters', 'Adapted to Drama', 'Adapted to Manhua', 'Calm Protagonist', 'Cruel Characters', 'Depictions of Cruelty', 'Female Protagonist', 'Forced into a Relationship', 'Forced Marriage', 'Male Yandere', 'Manipulative Characters', 'Modern Day', 'Murders', 'Obsessive Love', 'Police', 'Possessive Characters', 'Pregnancy', 'Psychopaths', 'Revenge', 'R*pe', 'S*xual Abuse', 'Teachers', 'Unrequited Love', 'Yandere']",5,2,4,5,30,4.2
Sealed Lips,"['Drama', 'Romance']","['Adapted to Manhua', 'Doctors', 'Female Protagonist', 'Modern Day', 'Reincarnation', 'Revenge', 'Wealthy Characters', 'Yandere']",2,1,2,1,4,3.4
My Dear Classmate,"['School Life', 'Slice of Life', 'Romance']",[''],1,1,1,0,1,2.8
A Warm Wedding and A New Bride of Young Master Lu,"['Comedy', 'Drama', 'Josei', 'Mature', 'Romance']","['Adapted to Drama', 'Arranged Marriage', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day', 'Possessive Characters', 'Wealthy Characters']",31,10,8,15,34,3.1
Necropolis Immortal,"['Action', 'Adventure', 'Comedy', 'Xuanhuan']","['Alchemy', 'Aristocracy', 'Army', 'Artifact Crafting', 'Artifacts', 'Battle Competition', 'Beast Companions', 'Beasts', 'Bodyguards', 'Calm Protagonist', 'Clever Protagonist', 'Confident Protagonist', 'Cultivation', 'Dao Comprehension', 'Dense Protagonist', 'Determined Protagonist', 'Disabilities', 'Divination', 'Dragons', 'Dungeons', 'Early Romance', 'Empires', 'Enemies Become Allies', 'Evil Gods', 'Fallen Nobility', 'Famous Protagonist', 'Feng Shui', 'Fox Spirits', 'Friendship', 'Ghosts', 'Gods', 'Hiding True Abilities', 'Immortals', 'Kingdoms', 'Loyal Subordinates', 'Lucky Protagonist', 'Magic Formations', 'Magical Space', 'Maids', 'Male Protagonist', 'Manipulative Characters', 'Military', 'Mind Control', 'Mythical Beasts', 'Necromancer', 'Nobles', 'Past Plays a Big Role', 'Phoenixes', 'Pill Concocting', 'Politics', 'Quirky Characters', 'Romantic Subplot', 'Schemes And Conspiracies', 'Sect Development', 'Sentient Objects', 'Servants', 'Shameless Protagonist', 'Souls', 'Strength-based Social Hierarchy', 'Sword Wielder', 'Teamwork', 'Thieves', 'Transmigration', 'Underestimated Protagonist', 'Weak to Strong', 'World Travel', 'Zombies']",45,14,13,20,89,3.5
The Possession of My Beloved,"['Martial Arts', 'Historical', 'Fantasy', 'Romance']","['Amnesia', 'Ancient Times', 'Fantasy World', 'Female Protagonist', 'Slow Romance']",3,0,1,7,14,4.2
"General, Madam Called You To Farm","['Comedy', 'Drama', 'Fantasy', 'Romance']","['Adopted Children', 'Ancient China', 'Beautiful Female Lead', 'Black Belly', 'Character Growth', 'Charismatic Protagonist', 'Charming Protagonist', 'Cheats', 'Childcare', 'Clever Protagonist', 'Complex Family Relationships', 'Confident Protagonist', 'Cooking', 'Cute Children', 'Devoted Love Interests', 'Doctors', 'Familial Love', 'Family', 'Farming', 'Fat Protagonist', 'Fat to Fit', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Heartwarming', 'Hiding True Identity', 'Kidnappings', 'Magical Space', 'Marriage', 'Medical Knowledge', 'Modern Knowledge', 'Nobles', 'Poor to Rich', 'Pretend Lovers', ' ""Sibling\'s Care"",Smart Couple', 'Transmigration', 'Tsundere', 'Twins', 'Ugly to Beautiful']",0,1,0,2,8,4.5
Cinderella Innocent and Boss Charming,"['Josei', 'Romance']","['Female Protagonist', 'Modern Day', 'Older Love Interests', 'S*x S*aves', 'S*xual Abuse', 'Wealthy Characters']",6,0,1,2,11,3.6
Dear Love,"['Fantasy', 'Romance']","['Beautiful Female Lead', 'Celebrities', 'Doting Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Reincarnated Individuals', 'Reincarnation', 'Second Chance', 'Showbiz', 'Wealthy Characters']",4,0,5,5,21,4.1
Whispering To You,"['School Life', 'Drama', 'Comedy', 'Slice of Life', 'Romance']","['Female Protagonist', 'Modern Day']",4,1,1,1,10,3.7
Warm Waters,"['Drama', 'Romance', 'Yaoi']","['Character Growth', 'Cohabitation', 'Couple Growth', 'Devoted Love Interests', 'Early Romance', 'Handsome Male Lead', 'Modern Day', 'Protagonist Falls in Love First', 'Short Story', 'Unrequited Love', 'Younger Love Interests']",11,15,22,19,39,3.6
Defiant Martial God,"['Adventure', 'Martial Arts', 'Action', 'Xuanhuan']","['Blacksmith', 'Caring Protagonist', 'Cultivation', 'Hot-blooded Protagonist', 'Male Protagonist', 'Pill Concocting', 'Revenge', 'Righteous Protagonist', 'Ruthless Protagonist', 'Strength-based Social Hierarchy', 'Transmigration', 'Weak to Strong']",13,7,4,7,14,3.0
I Want to F*** You,"['School Life', 'Psychological', 'Adult', 'Josei', 'Smut', 'Romance']","['An*l', 'BDSM', 'Beautiful Female Lead', 'C*nnilingus', 'College/University', 'Dense Protagonist', 'Dreams', 'Exhibitionism', 'Female Protagonist', 'First-time Interc**rse', 'F*llatio', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Male Yandere', 'Manipulative Characters', 'Modern Day', 'Obsessive Love', 'Outdoor Interc**rse', 'Past Plays a Big Role', 'Past Trauma', 'Popular Love Interests', 'Possessive Characters', 'R*pe Victim Becomes Lover', 'R*pe', 'Shoujo-Ai Subplot', 'Sickly Characters', 'Sleeping', 'Stalkers', 'Threesome', 'Virtual Reality', 'Yandere']",18,15,19,29,80,3.9
Extraordinary Voyage,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']","['Biochip', 'Calm Protagonist', 'Evil Gods', 'Kingdom Building', 'Kingdoms', 'Knights', 'Male Protagonist', 'Pirates', 'Religions', 'Transmigration', 'Weak to Strong', 'Wizards']",0,1,1,2,2,3.8
Yandere Male God‘s Sweetness Exploded,"['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Tragedy']","['Female Protagonist', 'Male Yandere', 'Multiple Identities', 'Obsessive Love', 'Possessive Characters', 'Slow Romance', 'System Administrator', 'Transmigration', 'World Hopping']",2,3,6,4,8,3.6
Back To The Age Of The ’80s,"['Shounen Ai', 'School Life']","['Age Regression', 'Calm Protagonist', 'Clumsy Love Interests', 'Cold Love Interests', 'Complex Family Relationships', 'Doting Older Siblings', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Medical Knowledge', 'Nationalism', 'Previous Life Talent', 'Protagonist Strong from the Start', 'Reincarnation', 'Scientists', 'Second Chance', 'Showbiz', 'Slow Romance', 'Smart Couple', 'Time Travel', 'Transmigration', 'Tsundere', 'Wealthy Characters']",9,6,11,8,34,3.8
East,"['Drama', 'Historical', 'Romance', 'Tragedy', 'Wuxia', 'Yaoi']","['Ancient China', 'Confinement', 'Death', 'Death of Loved Ones', 'Evil Religions', 'Fanfiction', 'Inferiority Complex', 'Love Interest Falls in Love First', 'Mismatched Couple', 'Obsessive Love', 'Older Love Interests', 'Oneshot', 'Past Plays a Big Role', 'Secret Relationship', 'Seme Protagonist', 'Short Story', 'Strong Love Interests', 'Unconditional Love', 'Weak Protagonist']",2,2,2,2,8,3.8
Tyrannical Wang’s Beloved Wife,"['Adult', 'Comedy', 'Drama', 'Fantasy', 'Mature', 'Romance']","['Ancient China', 'Arranged Marriage', 'Beautiful Female Lead', 'Broken Engagement', 'Calm Protagonist', 'Caring Protagonist', 'Charming Protagonist', 'Clever Protagonist', 'Complex Family Relationships', 'Couple Growth', 'Cruel Characters', 'Death of Loved Ones', 'Depictions of Cruelty', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Older Siblings', 'Familial Love', 'Fated Lovers', 'Female Protagonist', 'Flashbacks', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Male Yandere', 'Manipulative Characters', 'Mature Protagonist', 'Multiple Reincarnated Individuals', 'Mysterious Past', 'Obsessive Love', 'Older Love Interests', 'Past Plays a Big Role', 'Politics', 'Possessive Characters', 'Power Couple', 'Pragmatic Protagonist', 'Pregnancy', 'Previous Life Talent', 'Reincarnation', 'Royalty', 'Schemes And Conspiracies', 'Second Chance', 'Slow Romance', 'Smart Couple', 'Strong Love Interests', 'Tragic Past', 'Transmigration', 'Twisted Personality', 'Unconditional Love']",44,11,22,25,232,4.2
Global Demon King: Starting as the Abyssal Dragon,"['Sci-fi', 'Supernatural', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Army Building', 'Beastkin', 'Bloodlines', 'Chat Rooms', 'Clan Building', 'Cunning Protagonist', 'Demi-Humans', 'Demon Lord', 'Demons', 'Dragons', 'Dwarfs', 'Elves', 'Evil Gods', 'Fairies', 'Fantasy World', 'Farming', 'Game Elements', 'Game Ranking System', 'Goblins', 'God Protagonist', 'Handsome Male Lead', 'Heroes', 'Kingdom Building', 'Level System', 'Loyal Subordinates', 'Lucky Protagonist', 'Male Protagonist', 'Monsters', 'Multiple Transported Individuals', 'Non-humanoid Protagonist', 'Orcs', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Ruthless Protagonist', 'S*aves', 'Strength-based Social Hierarchy', 'Strong to Stronger', 'Time Manipulation', 'Transmigration', 'Transported to Another World', 'Wars']",8,4,12,20,88,4.3
Dressed As A Male God’s First Love,"['Fantasy', 'Romance']","['Beautiful Female Lead', 'Celebrities', 'Complex Family Relationships', 'Cowardly Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Modern Day', 'Showbiz', 'Sibling Rivalry', 'Transmigration', 'Villainess Noble Girls']",16,4,4,8,15,3.0
The Dragon Emperor,"['Fantasy', 'Shounen']",['Male Protagonist'],5,0,0,1,2,2.4
"Big Boss Villain, Don’t Turn Black!","['Comedy', 'Josei', 'Romance']","['Adopted Children', 'Brother Complex', 'Devoted Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'System Administrator', 'Thriller', 'Wealthy Characters', 'World Hopping']",8,0,3,4,17,3.7
F*ck Off Unless You’re The One,"['Shounen Ai', 'Comedy', 'Slice of Life']","['Devoted Love Interests', 'Jealousy', 'Misunderstandings', 'Modern Day', 'Short Story']",14,14,26,32,34,3.5
Jiang Jiu,"['Yaoi', 'Slice of Life', 'Romance', 'Adult']","['Couple Growth', 'Cute Story', 'Doting Love Interests', 'Engagement', 'Marriage', 'Marriage of Convenience', 'Modern Day', 'Multiple POV', 'Pretend Lovers', 'Protagonist Falls in Love First', 'Seme Protagonist', 'Short Story', 'Tsundere', 'Wealthy Characters']",5,5,18,39,82,4.3
My Boyfriend from the Physics Department,"['Josei', 'Romance']","['Beautiful Female Lead', 'Comedic Undertone', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day', 'Pets']",3,1,3,1,12,3.9
